"DR. B.R. AMBEDKAR INSTITUTE OF
TECHNOLOGY","POLYTECHNIC ROAD PAHAR GAON PO
JUNGLIGHAT",PORT BLAIR,Government
DAITA MADHUSUDANA SASTRY SRI VENKATESWARA HINDU COLLEGE OF ENGINEERING,"DAITA MADHUSUDANA SASTRY SRI
VENKATESWARA HINDU COLLEGE OF ENGINEERING, MACHILIPATNAM PIN - 521 002",KRISHNA,Private-Self Financing
TADIPATRI ENGINEERING COLLEGE,"KADAPA ROAD, VEERAPURAM
(V),TADIPATRI(M).",ANANTAPUR,"Private-Self
Financing"
"UNIVERSITY COLLEGE OF ENGINEERING
KAKINADA",PITHAPURAM ROAD JNTU K KAKINADA,EAST GODAVARI,Government
SRI RAMAKRISHNA DEGREE COLLEGE,"N.G.O.'S COLONY NEAR S.B.I. COLONY
NANDYAL",KURNOOL,"Private-Self
Financing"
"GOVERNMENT POLYTECHNIC, RAYADURG","VALMIKI NAGAR, NEAR KHASTHURIBHA
SCHOOL, BELLARY ROAD, RAYADURGAM- 515865",ANANTAPUR,Government
GOVERNMENT POLYTECHNIC,Z.P.H.SCHOOL CAMPUS,GUNTUR,Government
GOVERNMENT POLYTECHNIC,"GOVT. BOYS HIGH SCHOOL-I, ALUR",KURNOOL,Government
BAPATLA POLYTECHNIC,"BAPATLA-522101, GUNTUR DIST, ANDHRA
PRADESH",GUNTUR,"Private-Self
Financing"
"SRI VENKATESWARA COLLEGE OF
ENGINEERING","45/150-15,BALAJI NAGAR,CHEMMUMIAH
PET, KADAPA",YSR DISTRICT,"Private-Self
Financing"
VIJAYAM BUSINESS SCHOOL,"SUNDARARAJA PURAM(VI),CHITTOOR-
PUTHOOR HIGHWAY, PEDDAKALAVA (PO), GANGADHARA NELLORE (MD)",CHITTOOR,Private-Self Financing
SRI SATHYA SAI INSTITUTE OF HIGHER LEARNING,"SRI SATHYA SAI INSTITUTE OF HIGHER
LEARNING DEEMED TO BE UNIVERSITY VIDYAGIRI, PRASANTHI NILAYAM ANANTAPUR DISTRICT ANDHRA PRADESH INDIA PIN 515134",ANANTAPUR,Deemed to be University(Pvt)
MSME TECHNOLOGY CENTRE,"PLOT NO.6,IC-UDI, ATCHUTAPURAM",VISAKHAPATNAM,Government
"SPATIAL INFORMATION
TECHNOLOGY,IST,JNTUK","JNTUK,KAKINADA",EAST GODAVARI,Government
R.K. COLLEGE OF ENGINEERING,"R.S.NO.52,53 ,NAVEPOTAVARAM
VILLAGE,KETHANA
KONDA,IBRAHIMPATNAM 521456,VIJAYAWADA,A.P.",KRISHNA,Private-Self Financing
AL- HUDA POLYTECHNIC,"YALAMAVARIDINNE VIA CHILDERNS
PARK ROAD NEAR CHINTHAREDDY PALEM NELLORE",NELLORE,Private-Self Financing
"SDGS COLLEGE PG DEPT OF BUSINESS
MGT STUDIES","NANEPPA NAGAR HINDUPUR 515201
ANANTAPUR DIST",ANANTAPUR,"Private-Self
Financing"
"AQJ CENTRE FOR POST GRADUATE
STUDIES","GUDILOVA, ANANDAPURAM",VISHAKHAPATNAM,"Private-Self
Financing"
GDMM COLLEGE OF ENGINEERING & TECHNOLOGY,"RAMANNAPET ROAD, OPP.D.V.R. COLONY
NANDIGAMA KRISHNA-DT ANDHRA PRADESH",KRISHNA,Private-Self Financing
"CHALAPATHI INSTITUTE OF
ENGINEERING AND TECHNOLOGY","CHALAPATHI NAGAR, LAM, GUNTUR-
522034, ANDHRA PRADESH",GUNTUR,"Private-Self
Financing"
GEETHANJALI INSTITUTE OF SCIENCE AND TECHNOLOGY,"3RD MILE, NELLORE BOMBAY HIGHWAY, GANGAVARAM (VILL. & POST), KOVUR (MANDAL), SPSR NELLORE DISTRICT",NELLORE,Private-Self Financing
"V.K.R., V.N.B. A.G.K. COLLEGE OF
ENGINEERING","ELURU ROAD, GUDIVADA-521301
KRISHNA DISTRICT A.P.",KRISHNA,"Private-Self
Financing"
NIMRA COLLEGE OF ENGINEERING AND TECHNOLOGY,"NIMRA NAGAR JUPUD,IBRAHIMPATNAM- 521 456,KRISHNA DT., ANDHRA PRADESH",KRISHNA,Private-Self Financing
PRAGATI ENGINEERING COLLEGE,"1-378, ADB ROAD, SURAMPALEM,NEAR
PEDDAPURAM,E.G.DIST,A.P.",EAST GODAVARI,"Private-Self
Financing"
SRI BALAJI PG COLLEGE (MBA),"SRI BALAJI PG COLLEGE(MBA)
RUDRAMPET, ALAMURU (P) ANANTAPUR(DISTRICT) A.P",ANANTAPUR,Private-Self Financing
AVANTHI'S RESEARCH & TECHNOLOGICAL ACADEMY,"AVANTHI'S RESEARCH & TECHNOLOGICAL ACADEMY BASAVAPALEM VILLAGE, BHOGAPURAM MANDALAM, VIZIANAGARAM DISTRICT.",VIZIANAGARAM,Private-Self Financing
"SIR C R REDDY COLLEGE OF
ENGINEERING","VATLURU ELURU WEST GODAVARI
DISTRICT",WEST GODAVARI,"Private-Self
Financing"
SIR C V RAMAN COLLEGE OF COMPUTER SCIENCES,"GREEN FIELDS, ONGOLE ROAD, PODILI,
PRAKASAM (DT), ANDHRA PRADESH- 523240.",PRAKASAM,Private-Self Financing
SAI TIRUMALA NALABOTHU VENKATA RAO ENGINEERING COLLEGE,"SATULUR VILLAGE, NADENDLA
MANDAL, PALANADU DISTRICT, ANDHRA PRADESH",GUNTUR,Private-Self Financing
A.V.N.POLYTECHNIC,ANNAVARAM ROAD,KRISHNA,"Private-Self
Financing"
GOVENMENT POLYTECHNIC,E.E.BANGALOW NEAR R&B GUEST HOUSE,KRISHNA,Government
"SRI VENKATESWARA INSTITUTE OF
SCIENCE AND TECHNOLOGY","TADIGOTLA (VILLAGE), C.K.DINNE
(MANDAL), KADAPA. A.P. 516003",YSR DISTRICT,"Private-Self
Financing"
PALIVELA PG COLLEGE,8-39-4 AMALAPURAM ROAD PALIVELA KOTHAPETA EAST GODAVARI DISTRICT,EAST GODAVARI,Private-Self Financing
"CENTRAL INSTITUTE OF
PETROCHEMICALS ENGINEERING AND TECHNOLOGY VIJAYAWADA",SURAMPALLI GANNAVARAM MANDAL VIJAYAWADA KRISHNA DISTRICT,KRISHNA,Government
GOVERNMENT POLYTECHNIC,"M H SCHOOL CAMPUS 4 ROAD JUNCTION
NEHRU CHOWK ANAKAPALLI VIZAG DT INDIA 531001",VISHAKHAPATNAM,Government
ADITYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,K.KOTTURU (VILL) TEKKALI - 532 201 SRIKAKULAM (DIST) ANDHRA PRADESH,SRIKAKULAM,Private-Self Financing
ANNAMACHARYA PG COLLEGE OF COMPUTER STUDIES,"NEW BOYANAPALLI THALLAPAKA
PANCHAYATH RAJAMPET MANDAL YSR DISTRICT",YSR DISTRICT,Private-Self Financing
